0,1,2,3,4,5,6,7
1.0,5.05762,16.5955,0.0,-4.32885,-0.510731,0.006851100000000001,0.0
1.0,20.0999,4.627269999999999,0.0,-3.2326200000000003,0.91206,-0.0442694,0.0
1.0,11.9574,9.49695,0.0,-3.59409,0.587332,-0.00466033,0.0
1.0,18.6331,6.2168,0.0,-4.59261,-0.73175,0.15900999999999998,0.0
1.0,20.3804,11.972000000000001,0.0,-4.21155,-0.07400599999999999,0.0826891,0.0
2.0,17.7693,1.96776,0.0,-3.67615,0.20011900000000002,-0.18390399999999998,0.0
2.0,16.7179,13.6048,0.0,-3.7628699999999995,0.57467,-0.329542,0.0
2.0,1.50226,7.644260000000001,0.0,-3.9964800000000005,-0.0268031,0.260141,0.0
2.0,2.2873200000000002,9.074580000000001,0.0,-3.20744,-0.157116,-0.12993,0.0
2.0,3.1924799999999998,16.6732,0.0,-2.4598,-0.188493,-0.359553,0.0
2.0,13.32,5.061030000000001,0.0,-3.4849,-0.0125777,-0.021083599999999997,0.0
2.0,5.93655,16.3291,0.0,-3.34879,0.384419,0.34175900000000003,0.0
1.0,20.3191,2.1453599999999997,0.0,-3.4332599999999998,0.12483599999999999,0.0410753,0.0
1.0,6.75255,6.1635,0.0,-3.2757400000000003,-0.157662,0.350018,0.0
1.0,14.8842,9.47257,0.0,-3.8286,-0.773504,-0.0843348,0.0
1.0,17.5482,10.2516,0.0,-4.0092099999999995,0.178929,-0.0147577,0.0
1.0,3.7847699999999995,19.5677,0.0,-3.96083,-0.326381,-0.38898499999999997,0.0
1.0,0.829824,14.7975,0.0,-3.79625,0.712095,-0.11501099999999999,0.0
1.0,4.42833,11.235,0.0,-4.24569,0.0641993,0.6901010000000001,0.0
1.0,12.8514,10.2257,0.0,-3.92121,-0.286826,-0.0815872,0.0
1.0,0.609738,7.528460000000001,0.0,-3.75084,0.0702421,0.21775300000000003,0.0
1.0,12.5362,15.2824,0.0,-3.88075,-0.286682,-0.0166946,0.0
1.0,11.0425,12.1087,0.0,-4.47133,-0.361799,-0.213883,0.0
1.0,9.37009,17.0689,0.0,-4.2867,0.15343900000000002,0.0805957,0.0
1.0,13.367,8.67039,0.0,-3.94181,-0.453136,0.12086,0.0
2.0,6.9817,10.0263,0.0,-3.56409,0.45052299999999995,0.25713,0.0
2.0,3.1256,13.575,0.0,-3.71136,-0.00880577,-0.0926832,0.0
2.0,3.5682199999999997,11.6388,0.0,-3.6039999999999996,0.108724,-0.127622,0.0
2.0,4.02556,20.3976,0.0,-3.69562,0.250283,-0.224295,0.0
2.0,6.990660000000001,13.7424,0.0,-2.73307,-0.0489259,0.48203900000000005,0.0
2.0,19.5063,6.24607,0.0,-3.6253,0.110534,-0.309636,0.0
2.0,12.9797,16.0618,0.0,-3.8231800000000002,-0.301737,0.21195100000000003,0.0
